user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,ip_address,class,category,dob,name,email
22058,24-02-2015 22:55,18-04-2015 02:47,65278,QVPSPJUOCKZAR,SEO,Chrome,M,732758368.8,0,home_essentials,22-02-1976,Aaron P Maashoh,aaron.maashoh@yahoo.com
333320,07-06-2015 20:39,08-06-2015 01:38,96399,EOGFQPIZPYXFZ,Ads,Chrome,F,350311387.9,0,apparels,02-01-1962,Rick D Rothackerj,rick_rothackerj@yahoo.com
1359,01-01-2015 18:52,01-01-2015 18:52,57296,YSSKYOSJHPPLJ,SEO,Opera,M,2621473820,1,electronics,05-03-1962,Harriet M McLeodd,harriet.mcleodd@gmail.com
150084,28-04-2015 21:13,04-05-2015 13:54,43650,ATGTXKYKUDUQN,SEO,Safari,M,3840542444,0,health_care,03-07-1974,Sinead M Carews,sinead.carews@gmail.com
221365,21-07-2015 07:09,09-09-2015 18:40,45016,NAUITBZFJKHWW,Ads,Safari,M,415583117.5,0,home_essentials,25-08-1970,Laurence H Frosty,laurence.frosty@tntech.edu
159135,21-05-2015 06:03,09-07-2015 08:05,37124,ALEYXFXINSXLZ,Ads,Chrome,M,2809315200,0,electronics,08-04-1997,Lee Z Chyenz,lee#chyenz@gmail.com
50116,01-08-2015 22:40,27-08-2015 03:37,75000,IWKVZHJOCLPUR,Ads,Chrome,F,3987484329,0,electronics,01-05-1996,Dhanya J Skariachano,dhanya.skariachano@gmail.com
360585,06-04-2015 07:35,25-05-2015 17:21,74769,HPUCUYLMJBYFW,Ads,Opera,M,1692458728,0,health_care,24-11-1981,Lisa E Baertleinu,lisa.baertleinu@hotmail.com
159045,21-04-2015 23:38,02-06-2015 14:01,66311,ILXYDOZIHOOHT,SEO,IE,F,3719094257,0,apparels,22-01-1972,Andreas B Cremerf,andreas.cremerf@sutletgroup.com
182338,25-01-2015 17:49,23-03-2015 23:05,37926,NRFFPPHZYFUVC,Ads,IE,M,341674739.6,0,apparels,06-02-1984,Ra J Alperx,ra&alperx@gmail.com
199700,11-07-2015 18:26,28-10-2015 21:59,7603,TEPSJVVXGNTYR,Ads,Safari,F,1819008578,0,health_care,17-06-1980,Matt U Falloonz,matt.falloonz@brandermill.com
